FUEL_ORDER_ID,FLIGHT_NUMBER,FLIGHT_DATE,TAIL_NUMBER,ATD,DISPATCH_QTY_KG,ROB_DEPARTURE_KG,PAYLOAD_KG,CAPTAIN_ID,DISPATCHER_ID,DISPATCH_TIMESTAMP,DISPATCH_SOURCE,ATA,FLIGHT_LEVEL,WIND_COMPONENT,ALTERNATE_AIRPORT,OFPLAN_REFERENCE,REMARKS
FO-MNL-20260117-001,PR101,2026-01-17,RP-C9901,2026-01-17T06:05:00Z,5500.00,12500.00,14200.00,CAP-10234,DSP-00456,2026-01-17T05:30:00Z,TRIPRECORD,2026-01-17T07:28:00Z,350,-12.5,CRK,OFP-PR101-20260117,Standard domestic MNL-CEB morning shuttle
FO-CEB-20260117-001,PR102,2026-01-17,RP-C9901,2026-01-17T08:35:00Z,4800.00,7200.00,13800.00,CAP-10234,DSP-00456,2026-01-17T08:00:00Z,TRIPRECORD,2026-01-17T10:02:00Z,350,8.3,MNL,OFP-PR102-20260117,Return CEB-MNL domestic shuttle
FO-MNL-20260117-002,PR301,2026-01-17,RP-C8771,2026-01-17T14:08:00Z,25000.00,35000.00,22500.00,CAP-10567,DSP-00789,2026-01-17T13:30:00Z,TRIPRECORD,2026-01-17T17:35:00Z,380,-18.2,KUL,OFP-PR301-20260117,Afternoon MNL-SIN regional widebody
FO-SIN-20260118-001,PR302,2026-01-18,RP-C8771,2026-01-18T09:12:00Z,22000.00,12000.00,21800.00,CAP-10567,DSP-00812,2026-01-18T08:30:00Z,TRIPRECORD,2026-01-18T12:38:00Z,380,15.7,MNL,OFP-PR302-20260118,Morning SIN-MNL return service
FO-MNL-20260117-003,PR501,2026-01-17,RP-C3501,2026-01-17T23:10:00Z,65000.00,75000.00,28000.00,CAP-10890,DSP-00456,2026-01-17T22:30:00Z,TRIPRECORD,2026-01-18T04:42:00Z,410,-25.4,BOM,OFP-PR501-20260117,Long-haul MNL-DXB overnight high priority
FO-DXB-20260118-001,PR502,2026-01-18,RP-C3501,2026-01-18T10:15:00Z,70000.00,15000.00,26500.00,CAP-10890,DSP-00934,2026-01-18T09:30:00Z,MANUAL,2026-01-18T23:40:00Z,410,22.1,BKK,OFP-PR502-20260118,Long-haul DXB-MNL return high priority
FO-MNL-20260117-004,PR201,2026-01-17,RP-C9902,2026-01-17T08:03:00Z,4200.00,11800.00,12600.00,CAP-10345,DSP-00567,2026-01-17T07:30:00Z,TRIPRECORD,2026-01-17T09:28:00Z,310,-5.8,CEB,OFP-PR201-20260117,Morning MNL-DVO domestic
FO-DVO-20260117-001,PR202,2026-01-17,RP-C9902,2026-01-17T10:38:00Z,3800.00,8000.00,11900.00,CAP-10345,DSP-00567,2026-01-17T10:00:00Z,TRIPRECORD,2026-01-17T12:05:00Z,310,7.2,MNL,OFP-PR202-20260117,Return DVO-MNL domestic
FO-MNL-20260117-005,PR401,2026-01-17,RP-C8772,2026-01-17T10:06:00Z,18000.00,28000.00,20100.00,CAP-10678,DSP-00789,2026-01-17T09:30:00Z,SMARTDOC,2026-01-17T12:32:00Z,370,-14.6,CEB,OFP-PR401-20260117,Morning MNL-HKG regional widebody
FO-HKG-20260117-001,PR402,2026-01-17,RP-C8772,2026-01-17T14:08:00Z,16500.00,10500.00,19800.00,CAP-10678,DSP-00812,2026-01-17T13:30:00Z,SMARTDOC,2026-01-17T16:35:00Z,370,16.3,MNL,OFP-PR402-20260117,Afternoon HKG-MNL return regional
